timestamp,src_ip,src_host,dst_ip,dst_host,user,event_type,process,port,protocol,severity,description
2026-07-01T08:01:46,10.0.2.11,ws-finance-01,10.0.2.12,ws-hr-02,svc_backup,dns_query,svchost.exe,53,tcp,info,Routine dns query from ws-finance-01 to ws-hr-02
2026-07-01T08:01:56,10.0.2.12,ws-hr-02,10.0.3.20,db-primary,j.smith,file_access,explorer.exe,445,tcp,info,Routine file access from ws-hr-02 to db-primary
2026-07-01T08:05:16,10.0.3.5,domain-controller,10.0.2.12,ws-hr-02,r.chen,http_request,chrome.exe,443,tcp,info,Routine http request from domain-controller to ws-hr-02
2026-07-01T08:10:38,10.0.2.13,ws-eng-03,10.0.0.1,edge-firewall,svc_backup,file_access,explorer.exe,445,tcp,info,Routine file access from ws-eng-03 to edge-firewall
2026-07-01T08:19:40,10.0.0.1,edge-firewall,10.0.3.5,domain-controller,r.chen,dns_query,svchost.exe,53,tcp,info,Routine dns query from edge-firewall to domain-controller
2026-07-01T08:25:01,10.0.2.11,ws-finance-01,10.0.2.13,ws-eng-03,j.smith,dns_query,svchost.exe,53,tcp,info,Routine dns query from ws-finance-01 to ws-eng-03
2026-07-01T08:27:23,10.0.2.13,ws-eng-03,10.0.0.1,edge-firewall,j.smith,file_access,explorer.exe,445,tcp,info,Routine file access from ws-eng-03 to edge-firewall
2026-07-01T08:27:27,10.0.2.12,ws-hr-02,10.0.1.10,dmz-web-01,a.patel,http_request,chrome.exe,443,tcp,info,Routine http request from ws-hr-02 to dmz-web-01
2026-07-01T08:31:38,10.0.0.1,edge-firewall,10.0.2.11,ws-finance-01,a.patel,file_access,explorer.exe,445,tcp,info,Routine file access from edge-firewall to ws-finance-01
2026-07-01T08:33:06,10.0.2.12,ws-hr-02,10.0.3.20,db-primary,j.smith,login_success,winlogon.exe,445,tcp,info,Routine login success from ws-hr-02 to db-primary
2026-07-01T08:34:00,10.0.2.12,ws-hr-02,10.0.2.11,ws-finance-01,svc_backup,http_request,chrome.exe,443,tcp,info,Routine http request from ws-hr-02 to ws-finance-01
2026-07-01T08:35:04,10.0.1.10,dmz-web-01,10.0.2.12,ws-hr-02,a.patel,dns_query,svchost.exe,53,tcp,info,Routine dns query from dmz-web-01 to ws-hr-02
2026-07-01T08:36:48,10.0.0.1,edge-firewall,10.0.3.5,domain-controller,a.patel,login_success,winlogon.exe,445,tcp,info,Routine login success from edge-firewall to domain-controller
2026-07-01T08:37:34,10.0.2.13,ws-eng-03,10.0.2.11,ws-finance-01,m.oconnor,dns_query,svchost.exe,53,tcp,info,Routine dns query from ws-eng-03 to ws-finance-01
